"Title","Hull","Class %23","Hull %23","COM Date","TYCOM","FLT","Last Insp Date","Sked Next Inspection","Months from Last Insp/MI","OVERDUE REASON","Overdue_OLD","ACTIVE/INACTIVE","Battle Force","HomePort","UIC","NVR","Waivers","Remarks","AT Date","FCT Date","CT DATE","GMI","MI / SMART 1","MI / SMART 2","MI / SMART 3","MI / SMART 4","MI / SMART 5","MI / SMART 6","MI / SMART 7","MI / SMART 8","MI / SMART 9","MI / SMART 10","Survey","NEP","IT","C51","C51","AT2","C51","C51","FC2","MCI 1","PRT","DECOM Date","SCHEDULED","OVERDUE","CURRENT ORFP PHASE","PHASE MI Scheduled In","CONCERNS/RISKS","Ship Folder"
"RUSSELL","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 59","5/19/1995 9:00 PM","[""CNSP""]","[""C3F""]","2/26/2025 9:00 PM",,"7","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21821","[""PAC""]",,,,,,,"4/8/1999 9:00 PM","9/11/2003 9:00 PM","9/20/2007 9:00 PM","8/27/2015 9:00 PM","5/1/2019 9:00 PM","2/26/2025 9:00 PM",,,,,,,,,,,,,,,,,"NO",,,,,
"PAUL HAMILTON","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 60","5/26/1995 9:00 PM","[""CNSP""]","[""C3F""]","6/19/2019 9:00 PM","3/29/2026 9:00 PM","76","[""2"",""3""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21822","[""PAC""]",,,,,,,"4/15/1999 9:00 PM","4/22/1999 9:00 PM","3/18/2004 9:00 PM","9/11/2008 9:00 PM","12/17/2014 9:00 PM","6/19/2019 9:00 PM",,,,,,,,,,,,,,"9/16/2018 9:00 PM",,,"YES","OVERDUE",,,,
"RAMAGE","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 61","7/21/1995 9:00 PM","[""CNSL""]","[""C2F""]","1/29/2023 9:00 PM","8/30/2026 9:00 PM","32","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","21823","[""LANT""]",,"HPC to Mayport, FL 05 APR 24",,,,,"1/25/2001 9:00 PM","9/22/2005 9:00 PM","4/28/2011 9:00 PM","7/15/2015 9:00 PM","6/10/2019 9:00 PM","1/29/2023 9:00 PM",,,,,,,,,,,,,,,,,"YES",,,,,
"FITZGERALD","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 62","10/13/1995 9:00 PM","[""CNSP""]","[""C3F""]","6/12/2024 9:00 PM","10/15/2028 9:00 PM","16","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21824","[""PAC""]",,,,,,,"8/24/2000 9:00 PM","5/27/2004 9:00 PM","3/26/2009 9:00 PM","5/14/2014 9:00 PM","8/29/2021 9:00 PM","6/12/2024 9:00 PM",,,,,,,,,,,,,,,,,"YES",,,,,
"STETHEM","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 63","10/20/1995 9:00 PM","[""CNSP""]","[""C3F""]","2/4/2024 9:00 PM","7/5/2026 9:00 PM","20","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21825","[""PAC""]",,,,,,,"9/13/2001 9:00 PM","3/17/2005 9:00 PM","2/11/2010 9:00 PM","11/4/2015 9:00 PM","2/4/2024 9:00 PM",,,,,,,,,,,,,,,,,,"YES",,,,,
"CARNEY","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 64","4/12/1996 9:00 PM","[""CNSL""]","[""C2F""]","5/21/2023 9:00 PM","3/8/2026 9:00 PM","29","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","21923","[""LANT""]",,,,"12/5/1996 9:00 PM",,,"8/16/2001 9:00 PM","4/6/2006 9:00 PM","7/11/2013 9:00 PM","10/29/2019 9:00 PM","5/21/2023 9:00 PM",,,,,,,,,,,,,,,"7/1/2015 9:00 PM",,,"YES",,,,,
"BENFOLD","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 65","3/29/1996 9:00 PM","[""CNSP""]","[""C7F""]","3/12/2023 9:00 PM",,"31","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","21940","[""PAC""]",,"HPC to EVERETT SEP25",,,,,"11/29/2001 9:00 PM","2/9/2006 9:00 PM","12/16/2010 9:00 PM","8/26/2015 9:00 PM","2/25/2019 9:00 PM","3/12/2023 9:00 PM",,,,,,,,,,,,,,,,,"NO",,,,,
"GONZALEZ","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 66","10/11/1996 9:00 PM","[""CNSL""]","[""C2F""]","8/22/2024 9:00 PM","5/2/2027 9:00 PM","14","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21833","[""LANT""]",,,,"4/9/1998 9:00 PM",,,"10/10/2002 9:00 PM","9/27/2007 9:00 PM","11/8/2012 9:00 PM","10/31/2018 9:00 PM","5/10/2021 9:00 PM","8/22/2024 9:00 PM",,,,,,"12/7/2000 9:00 PM",,,,,,,,,,,"YES",,,,,
"COLE","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 67","6/7/1996 9:00 PM","[""CNSL""]","[""C2F""]","5/4/2021 9:00 PM","10/14/2025 9:00 PM","53","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21941","[""LANT""]",,,,"12/12/1996 9:00 PM",,,"6/9/2002 9:00 PM","1/11/2007 9:00 PM","5/24/2007 9:00 PM","12/8/2011 9:00 PM","12/6/2017 9:00 PM","5/4/2021 9:00 PM",,,,,,,,,,,,,,"8/19/2016 9:00 PM",,,"YES","OVERDUE",,,,
"THE SULLIVANS","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 68","4/18/1997 9:00 PM","[""CNSL""]","[""C2F""]","3/21/2024 9:00 PM","2/27/2028 9:00 PM","19","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","21942","[""LANT""]",,,"10/31/1996 9:00 PM","7/31/1997 9:00 PM",,,"6/14/2001 9:00 PM","3/23/2006 9:00 PM","5/12/2011 9:00 PM","12/14/2015 9:00 PM","1/19/2021 9:00 PM",,,,,,,"5/27/1999 9:00 PM",,,,,,,,"4/22/2013 9:00 PM",,,"YES",,,,,
"MILIUS","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 69","11/22/1996 9:00 PM","[""CNSP""]","[""C7F""]","1/16/2022 9:00 PM","4/19/2026 9:00 PM","45","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","21943","[""PAC""]",,,,"5/22/1997 9:00 PM",,,"6/6/2002 9:00 PM","9/21/2006 9:00 PM","8/11/2011 9:00 PM","6/14/2017 9:00 PM","1/16/2022 9:00 PM",,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"HOPPER","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 70","9/5/1997 9:00 PM","[""CNSP""]","[""C3F""]","5/7/2023 9:00 PM","9/27/2026 9:00 PM","29","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","21944","[""PAC""]",,,"3/20/1997 9:00 PM","2/12/1998 9:00 PM",,,"12/19/2002 9:00 PM","1/28/2007 9:00 PM","3/1/2012 9:00 PM","5/7/2023 9:00 PM",,,,,,,,,,,,,,,,"3/30/2016 9:00 PM",,,"YES",,,,,
"ROSS","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 71","6/27/1997 9:00 PM","[""CNSL""]","[""C2F""]","9/18/2025 9:00 PM",,"1","[""1"",""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21945","[""LANT""]",,,"3/6/1997 9:00 PM","1/28/1998 9:00 PM",,,"10/31/2002 9:00 PM","11/30/2006 9:00 PM","8/30/2007 9:00 PM","2/2/2014 9:00 PM","2/25/2019 9:00 PM","9/18/2025 9:00 PM",,,,,,,,,,,,,,"1/3/2016 9:00 PM",,,"NO",,,,,
"MAHAN","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 72","2/13/1998 9:00 PM","[""CNSL""]","[""C2F""]","8/22/2024 9:00 PM","2/13/2028 9:00 PM","14","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21946","[""LANT""]",,,"8/7/1997 9:00 PM","7/30/1998 9:00 PM",,,"10/2/2003 9:00 PM","6/26/2008 9:00 PM","10/4/2012 9:00 PM","2/7/2018 9:00 PM","8/22/2024 9:00 PM",,,,,,,,,,,,,,,"8/17/2016 9:00 PM",,,"YES",,,,,
"DECATUR","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 73","8/28/1998 9:00 PM","[""CNSP""]","[""C3F""]","10/24/2023 9:00 PM",,"23","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","21947","[""PAC""]",,,"2/26/1998 9:00 PM","1/21/1999 9:00 PM",,,"6/19/2003 9:00 PM","1/31/2008 9:00 PM","11/7/2013 9:00 PM","5/15/2019 9:00 PM","10/24/2023 9:00 PM",,,,,,,,,,,,,,,"3/10/2016 9:00 PM",,,"NO",,,,,
"MCFAUL","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 74","4/24/1998 9:00 PM","[""CNSL""]","[""C2F""]","9/18/2025 9:00 PM",,"1","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21948","[""LANT""]",,,"12/18/1997 9:00 PM","9/3/1998 9:00 PM",,,"3/13/2003 9:00 PM","4/3/2008 9:00 PM","12/3/2014 9:00 PM","6/24/2020 9:00 PM","9/18/2025 9:00 PM",,,,,,,"11/9/2000 9:00 PM",,,,,,,,,,,"NO",,,,,
"DONALD COOK","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 75","12/3/1998 9:00 PM","[""CNSL""]","[""C2F""]","1/25/2024 9:00 PM","1/18/2026 9:00 PM","20","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","21949","[""LANT""]",,,"7/16/1998 9:00 PM","5/5/1999 9:00 PM",,,"10/21/2004 9:00 PM","6/11/2009 9:00 PM","10/10/2013 9:00 PM","2/2/2020 9:00 PM","1/25/2024 9:00 PM",,,,,,,,,,,,,,,"11/4/2015 9:00 PM",,,"YES",,,,,
"HIGGINS","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 76","4/23/1999 9:00 PM","[""CNSP""]","[""C7F""]","12/12/2024 9:00 PM","9/19/2027 9:00 PM","10","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","21950","[""PAC""]",,,"12/17/1998 9:00 PM","9/2/1999 9:00 PM",,,"2/17/2005 9:00 PM","9/2/2010 9:00 PM","1/14/2015 9:00 PM","11/13/2020 9:00 PM","12/12/2024 9:00 PM",,,,,,,,,,,,,,,"8/5/2018 9:00 PM",,,"YES",,,,,
"O'KANE","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 77","10/22/1999 9:00 PM","[""CNSP""]","[""C3F""]","7/23/2025 9:00 PM",,"3","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21951","[""PAC""]",,,"4/29/1999 9:00 PM","1/27/2000 9:00 PM",,,"8/26/2004 9:00 PM","6/18/2009 9:00 PM","12/5/2013 9:00 PM","4/19/2021 9:00 PM","7/23/2025 9:00 PM",,,,,,,,,,,,,,,"8/6/2017 9:00 PM",,,"NO",,,,,
"PORTER","[""DDG""]","[""DDG 51 (Flt 2)""]","DDG 78","3/19/1999 9:00 PM","[""CNSL""]","[""C2F""]","9/5/2024 9:00 PM","9/12/2027 9:00 PM","13","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21952","[""LANT""]",,,"11/19/1998 9:00 PM","8/12/1999 9:00 PM",,,"10/31/2002 9:00 PM","5/3/2007 9:00 PM","8/25/2011 9:00 PM","7/19/2017 9:00 PM","2/6/2020 9:00 PM","9/5/2024 9:00 PM",,,,,,,,,,,,,,"1/26/2015 9:00 PM",,,"YES",,,,,
"OSCAR AUSTIN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 79","8/18/2000 9:00 PM","[""CNSL""]","[""C2F""]","10/8/2023 9:00 PM","12/13/2026 9:00 PM","24","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21953","[""LANT""]",,"HPC to ROTA 1SEP24","4/13/2000 9:00 PM","11/30/2000 9:00 PM",,,"9/30/2004 9:00 PM","8/13/2009 9:00 PM","3/22/2017 9:00 PM","10/8/2023 9:00 PM",,,,,,,,,,,,,,,,,,,"YES",,,,,
"ROOSEVELT","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 80","10/13/2000 9:00 PM","[""CNSL""]","[""C6F""]","2/24/2020 9:00 PM","2/22/2026 9:00 PM","67","[""2"",""3""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""ROTA, SPAIN""]","21954","[""LANT""]",,,"5/4/2000 9:00 PM","1/25/2001 9:00 PM",,,"12/15/2005 9:00 PM","12/16/2010 9:00 PM","2/1/2016 9:00 PM","2/24/2020 9:00 PM",,,,,,,,,,,,,,,,"8/28/2013 9:00 PM",,,"YES","OVERDUE",,,,
"WINSTON S. CHURCHILL","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 81","3/9/2001 9:00 PM","[""CNSL""]","[""C2F""]","4/21/2024 9:00 PM","2/28/2027 9:00 PM","18","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","21955","[""LANT""]",,,"8/17/2000 9:00 PM","4/18/2002 9:00 PM",,,"4/5/2007 9:00 PM","4/5/2012 9:00 PM","6/14/2017 9:00 PM","5/6/2021 9:00 PM","4/21/2024 9:00 PM",,,,,,,,,,,,,,,"11/19/2014 9:00 PM",,,"YES",,,,,
"LASSEN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 82","4/20/2001 9:00 PM","[""CNSL""]","[""C2F""]","10/31/2021 9:00 PM","12/14/2025 9:00 PM","47","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","21956","[""LANT""]",,"DDG MOD 2.0","12/14/2000 9:00 PM","4/25/2002 9:00 PM",,,"4/7/2005 9:00 PM","10/22/2009 9:00 PM","9/24/2014 9:00 PM","10/31/2021 9:00 PM",,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"HOWARD","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 83","10/19/2001 9:00 PM","[""CNSP""]","[""C7F""]","3/28/2025 9:00 PM",,"6","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","22999","[""PAC""]",,,,"4/4/2002 9:00 PM",,,"5/10/2007 9:00 PM","6/7/2012 9:00 PM","5/4/2016 9:00 PM","3/28/2025 9:00 PM",,,,,,,,,,,,,,,,,,,"NO",,,,,
"BULKELEY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 84","12/7/2001 9:00 PM","[""CNSL""]","[""C6F""]","10/23/2025 9:00 PM",,"0","[""2""]",,"[""ACTIVE""]","[""YES""]","[""ROTA, SPAIN""]","22992","[""LANT""]",,,"7/12/2001 9:00 PM","2/6/2003 9:00 PM",,,"10/25/2007 9:00 PM","6/3/2015 9:00 PM","2/26/2023 9:00 PM","10/23/2025 9:00 PM",,,,,,,,,,,,,,,,"12/10/2017 9:00 PM",,,"NO",,,,,
"MCCAMPBELL","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 85","8/16/2002 9:00 PM","[""CNSP""]","[""C7F""]","10/31/2023 9:00 PM","1/24/2027 9:00 PM","23","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","22993","[""PAC""]",,,"2/21/2002 9:00 PM","2/27/2003 9:00 PM",,,"2/22/2007 9:00 PM","4/26/2012 9:00 PM","10/31/2018 9:00 PM","11/12/2023 9:00 PM",,,,,,,,,,,,,,,,,,,"YES",,,,,
"SHOUP","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 86","6/21/2002 9:00 PM","[""CNSP""]","[""C7F""]","9/11/2022 9:00 PM","9/13/2026 9:00 PM","37","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","22994","[""PAC""]",,,"1/31/2002 9:00 PM","8/22/2002 9:00 PM",,,"2/7/2008 9:00 PM","4/17/2014 9:00 PM","1/30/2019 9:00 PM","9/11/2022 9:00 PM",,,,,,,,,,,,,,,,"5/25/2016 9:00 PM",,,"YES","OVERDUE",,,,
"MASON","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 87","4/11/2003 9:00 PM","[""CNSL""]","[""C2F""]","9/18/2022 9:00 PM",,"37","[""2"",""3""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","22995","[""LANT""]",,,,"9/11/2003 9:00 PM",,,"2/14/2008 9:00 PM","1/27/2016 9:00 PM","9/18/2022 9:00 PM",,,,,,,,,,,,,,,,,"10/7/2018 9:00 PM",,,"NO","OVERDUE",,,,
"PREBLE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 88","11/8/2002 9:00 PM","[""CNSP""]","[""C3F""]","8/29/2024 9:00 PM","4/18/2027 9:00 PM","13","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","22996","[""PAC""]",,"HPC to YOKOSUKA 31JUL24","7/11/2002 9:00 PM","4/17/2003 9:00 PM",,,"5/15/2008 9:00 PM","2/14/2013 9:00 PM","12/12/2018 9:00 PM","8/29/2024 9:00 PM",,,,,,,,,,,,,,,,"1/19/2015 9:00 PM",,,"YES",,,,,
"MUSTIN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 89","7/25/2003 9:00 PM","[""CNSP""]","[""C3F""]","6/26/2025 9:00 PM","5/7/2028 9:00 PM","3","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","22997","[""PAC""]",,"DDG MOD 2.0","1/30/2003 9:00 PM","12/18/2003 9:00 PM",,,"12/11/2008 9:00 PM","8/22/2013 9:00 PM","11/20/2019 9:00 PM","6/26/2025 9:00 PM",,,,,,,,,,,,,,,,"11/16/2016 9:00 PM",,,"YES",,,,,
"CHAFEE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 90","10/17/2003 9:00 PM","[""CNSP""]","[""C3F""]","9/25/2025 9:00 PM",,"0","[""1"",""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23155","[""PAC""]",,"DDG MOD 2.0","6/26/2003 9:00 PM","4/22/2004 9:00 PM",,,"11/20/2008 9:00 PM","4/8/2015 9:00 PM","9/25/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,"NO",,,,,
"PINCKNEY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 91","5/28/2004 9:00 PM","[""CNSP""]","[""C3F""]","1/15/2025 9:00 PM",,"9","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23145","[""PAC""]",,"DDG MOD 2.0","10/2/2003 9:00 PM","10/7/2004 9:00 PM",,,"3/5/2009 9:00 PM","8/8/2013 9:00 PM","6/19/2019 9:00 PM","1/15/2025 9:00 PM",,,,,,,,,,,,,,,,"12/15/2016 9:00 PM",,,"NO",,,,,
"MOMSEN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 92","8/27/2004 9:00 PM","[""CNSP""]","[""C3F""]","3/22/2023 9:00 PM","3/14/2027 9:00 PM","31","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23160","[""PAC""]",,,"3/25/2004 9:00 PM","4/14/2005 9:00 PM",,,"10/29/2009 9:00 PM","2/8/2016 9:00 PM","12/11/2019 9:00 PM","3/22/2023 9:00 PM",,,,,,,,,,,,,,,,"9/23/2018 9:00 PM",,,"YES",,,,,
"CHUNG-HOON","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 93","9/17/2004 9:00 PM","[""CNSP""]","[""C3F""]","7/10/2022 9:00 PM","7/12/2026 9:00 PM","39","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","23146","[""PAC""]",,"HPC to SDGO 3NOV23","3/4/2004 9:00 PM","2/3/2005 9:00 PM",,,"2/25/2010 9:00 PM","10/28/2015 9:00 PM","11/4/2019 9:00 PM","7/10/2022 9:00 PM",,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"NITZE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 94","3/4/2005 9:00 PM","[""CNSL""]","[""C2F""]","11/7/2021 9:00 PM","4/12/2026 9:00 PM","47","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23147","[""LANT""]",,"DDG MOD 2.0","10/28/2004 9:00 PM","7/28/2005 9:00 PM",,,"8/5/2010 9:00 PM","4/5/2017 9:00 PM","11/7/2021 9:00 PM",,,,,,,,,,,,,,,,,"9/25/2013 9:00 PM",,,"YES","OVERDUE",,,,
"JAMES E. WILLIAMS","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 95","12/10/2004 9:00 PM","[""CNSL""]","[""C2F""]","6/19/2022 9:00 PM","6/7/2026 9:00 PM","40","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23148","[""LANT""]",,,"7/15/2004 9:00 PM","5/26/2005 9:00 PM",,,"3/11/2010 9:00 PM","1/9/2014 9:00 PM","12/18/2019 9:00 PM","6/19/2022 9:00 PM",,,,,,,,,,,,,,,,"4/19/2017 9:00 PM",,,"YES","OVERDUE",,,,
"BAINBRIDGE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 96","11/11/2005 9:00 PM","[""CNSL""]","[""C2F""]","2/13/2025 9:00 PM","2/13/2028 9:00 PM","8","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23153","[""LANT""]",,,"6/9/2005 9:00 PM","4/27/2006 9:00 PM",,,"9/2/2010 9:00 PM","1/28/2015 9:00 PM","4/30/2018 9:00 PM","5/13/2021 9:00 PM","2/13/2025 9:00 PM",,,,,,,,,,,,,,,,,,"YES",,,,,
"HALSEY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 97","7/29/2005 9:00 PM","[""CNSP""]","[""C3F""]","8/29/2024 9:00 PM","12/5/2027 9:00 PM","13","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23154","[""PAC""]",,,"12/2/2004 9:00 PM","10/27/2005 9:00 PM",,,"12/17/2009 9:00 PM","6/10/2015 9:00 PM","3/18/2020 9:00 PM","8/29/2024 9:00 PM",,,,,,,,,,,,,,,,"6/28/2017 9:00 PM",,,"YES",,,,,
"FORREST SHERMAN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 98","1/27/2006 9:00 PM","[""CNSL""]","[""C2F""]","2/13/2025 9:00 PM","11/12/2028 9:00 PM","8","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23149","[""LANT""]",,,"6/23/2005 9:00 PM","5/4/2006 9:00 PM",,,"2/3/2011 9:00 PM","8/9/2017 9:00 PM","10/24/2021 9:00 PM","2/13/2025 9:00 PM",,,,,,,,,,,,,,,,,,,"YES",,,,,
"FARRAGUT","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 99","6/9/2006 9:00 PM","[""CNSL""]","[""C2F""]","10/31/2021 9:00 PM","2/1/2026 9:00 PM","47","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","23150","[""LANT""]",,,,"12/14/2006 9:00 PM",,,"1/13/2011 9:00 PM","9/10/2014 9:00 PM","10/31/2021 9:00 PM",,,,,,,,,,,,,,,,,"12/3/2017 9:00 PM",,,"YES","OVERDUE",,,,
"PAUL F. FOSTER","[""EDD""]","[""DD 963""]","EDD 964",,"[""CNSP""]",,"10/30/2022 9:00 PM","10/11/2026 9:00 PM","35","[""1"",""2""]",,"[""ACTIVE""]","[""NO""]","[""PORT HUENEME, CA""]","20575","[""PAC""]",,,,,,,"11/19/1998 9:00 PM","4/5/2017 9:00 PM","10/30/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,"YES",,,,,
"LEWIS B. PULLER","[""ESB   ""]","[""ESB 3""]","ESB 3","8/16/2017 9:00 PM","[""MSC""]","[""C5F""]","5/22/2022 9:00 PM",,"41","[""1"",""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""MANAMA, BAHRAIN""]","41038","[""LANT""]",,"FgRR until 9/30/2026, no SMARTS during this time",,"4/6/2016 9:00 PM",,,"5/22/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"HERSHEL ""WOODY"" WILLIAMS","[""ESB   ""]","[""ESB 3""]","ESB 4","3/6/2020 9:00 PM","[""MSC""]","[""C6F""]","11/14/2024 9:00 PM",,"11","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SOUDA BAY, CRETE""]","24305","[""PAC""]",,"FCT=7/9/18 HVI=12/18/17",,"8/29/2018 9:00 PM",,,"11/14/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"NO",,,,,
"MIGUEL KEITH","[""ESB   ""]","[""ESB 3""]","ESB 5","5/7/2021 9:00 PM","[""MSC""]","[""C7F""]","3/17/2021 9:00 PM","4/12/2026 9:00 PM","55","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""SAIPAN, MARIANAS""]","2999Q","[""PAC""]",,,"10/10/2019 9:00 PM","3/17/2021 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"JOHN L. CANLEY","[""ESB""]","[""ESB 3""]","ESB 6",,"[""MSC""]","[""C3F""]","8/27/2023 9:00 PM",,"25","[""2""]",,"[""ACTIVE""]",,"[""SAN DIEGO, CA""]",,"[""DELIVERED""]",,,"1/8/2023 9:00 PM","8/27/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"NO",,,,,
"ROBERT E. SIMANEK","[""ESB""]","[""ESB 3""]","ESB 7",,"[""MSC""]","[""C3F""]","10/8/2025 9:00 PM",,"0","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]",,"[""PAC""]",,,"8/15/2024 9:00 PM","10/8/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"NO",,,,,
"HECTOR A. CAFFERATA JR.","[""ESB""]","[""ESB 3""]","ESB 8",,"[""MSC""]",,,"5/17/2025 9:00 PM",,,"OVERDUE","[""INACTIVE""]",,"[""SAN DIEGO, CA""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"CONSTELLATION","[""FFG""]","[""FFG 62""]","FFG 62",,,,,,,,"OVERDUE",,,"[""MARINETTE, WI""]",,"[""UNDER CONSTRUCTION""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"CONGRESS","[""FFG""]","[""FFG 62""]","FFG 63",,,,,,,,"OVERDUE",,,"[""MARINETTE, WI""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"CHESAPEAKE","[""FFG""]","[""FFG 62""]","FFG 64",,,,,,,,"OVERDUE",,,"[""MARINETTE, WI""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
